Genes	Log2FC	padj	volcano
ENPP3	-2.160686112146	0.000197997863466	-8.00175421767788
ENPP7	-2.79745230696926	1.98480863768026E-05	-13.1544078349906
ETNK2	-2.25265088588842	9.41054538624507E-09	-18.0806437456673
F10	-2.19855130627488	8.81208419214899E-12	-24.304811801583
F12	-2.28279134270956	4.55024617307705E-05	-9.9118003564276
F13B	-2.08883408474327	0.006499716655652	-4.56850067259954
F2	-2.33512050492108	3.77005963797192E-05	-10.3297599774192
F9	-2.30135453747933	0.007170942232174	-4.93507938736651
FABP1	-2.28959001217445	0.000424307783844	-7.7212279028126
FAM133A	-2.44378661031219	0.001321262544116	-7.03568823082829
FAM184A	-2.22328530698222	5.93242319186817E-13	-27.1835933705077
FATE1	-2.13919890809919	8.17552721724631E-09	-17.3007374368854
FETUB	-2.58257509345687	0.000102533565875	-10.3022379543681
FXYD1	-2.10462736161791	3.70527871788058E-05	-9.32598081602773
G6PC	-2.01067019019546	0.00173352048554	-5.55160319651944
GALR3	-2.22270985673183	9.62815101324497E-09	-17.8182582269717
GBP7	-2.07572945260567	0.00155249898737	-5.83065900894751
GLYAT	-2.58854079697006	0.000355189872782	-8.92927353334216
GPR88	-2.22459427412958	0.003289660779153	-5.52333140865887
GSTA1	-2.76674529834475	7.41062037215053E-05	-11.4270604610029
GSTA2	-2.07572131281212	0.011543252334007	-4.02206667453112
GYS2	-2.29429418410022	0.002006726966157	-6.1888854353462
HAO1	-2.1932757642099	0.001056623403698	-6.52736364095382
HFE2	-2.5748716159168	3.4655239139857E-05	-11.4845224596654
HOXD10	-2.27267083759075	1.944577141482E-07	-15.2522913077708
HOXD9	-2.35424850913638	1.54022480967855E-07	-16.0381199416955
HPR	-2.37510497312858	0.000771528796237	-7.39286541155587
HSD17B3	-2.22082138596139	1.50873373015704E-07	-15.1490830202977
HULC	-2.55276693433103	1.87032651931016E-08	-19.7279936459997
ITIH1	-2.37173299535947	1.21495620196952E-07	-16.4015757494799
KLF15	-2.07761612904419	3.74686549113877E-12	-23.7395314458085
KNG1	-2.3253078120558	1.26122520478104E-06	-13.7174729562135
KRTAP5-6	-2.22586748589227	4.1460073537084E-06	-11.9804422285498
KRTAP5-7	-2.06563135019326	4.60270271326815E-07	-13.0898791681115
LECT2	-2.41501472540305	0.000483933063405	-8.00629233019041
LIME1	-2.0114925188261	4.41083595429347E-09	-16.8069836887777
LOC100133985	-2.00683220681953	1.65644080342472E-10	-19.6284727729367
LOC148709	-2.01334323758596	6.74178299355862E-08	-14.4381378236072
LOC285733	-2.17269200540564	2.17843583389887E-09	-18.8195436052882
LOC339535	-2.30813087747397	9.62687521022263E-05	-9.27064150138894
LOC55908	-2.16645167025057	0.006426529828461	-4.74891291292026
LPPR1	-2.3356733913178	5.24263806833694E-10	-21.6761004123969
MAGEA1	-2.60512410039325	0.000520942222909	-8.5531706468286
MAGEA3	-2.42983237239581	0.002354383094032	-6.38589802672111
MAGEA6	-2.53353881648039	0.001686715715097	-7.025397004961
MASP2	-2.49907229205188	0.002033417286541	-6.72693654215875
MAT1A	-2.00566947602836	4.77670201550546E-05	-8.6662407802139
MEP1A	-2.46627896929363	0.001393993510134	-7.04304964945343
MLXIPL	-2.04890503441393	6.46826926337166E-13	-24.9745376467631
MOGAT3	-2.24206764493361	1.57982810736278E-05	-10.7650415368065
MSMB	-2.05202916886098	0.000114908000195	-8.08427616832291
MST1	-2.04909307711991	2.14938626112742E-08	-15.7118013400463
MST1P2	-2.01434809117543	9.06498120530805E-12	-22.243706890427
MTTP	-2.77492589042326	2.87752905718026E-11	-29.2504390954809
NAGS	-2.26937614803956	4.63641393651528E-09	-18.9125673315323
OTC	-2.38632426868627	0.003083404453563	-5.99198746687932
PAGE5	-2.3705554301876	0.001249862832916	-6.88204871209724
PCOLCE2	-2.02131556257584	4.03896037738715E-07	-12.9237467751539
PCP4L1	-2.70689480485552	5.91580737193701E-09	-22.2722924922129
PEG10	-2.16911164572175	0.013067601119295	-4.08618147788569
PFKFB1	-2.44739233206725	2.94721139251979E-06	-13.5355204072889
PIPOX	-2.21603573283315	2.02721311183269E-07	-14.8321500785847
PKLR	-2.41722200600721	1.28533499597844E-06	-14.2398153586101
PLA2G12B	-2.15114410502664	3.97097753329725E-05	-9.46740584917709
PLG	-2.3008803183235	0.002713940474159	-5.90497851751919
PPP1R3G	-2.21165313016659	7.4354787853962E-07	-13.5545387692134
PRAP1	-2.73203810871806	2.17178776381292E-05	-12.7399926205156
PROC	-2.1573827383024	5.3736570180452E-10	-19.9983556126894
PRODH2	-2.94940533418723	1.65761862394017E-09	-25.8972989059202
PROL1	-2.00878459161995	0.001087122383654	-5.95347820783862
PROZ	-2.0181907134083	0.000204068568864	-7.44757556747977
RBP4	-2.06006993898869	8.79951372506528E-06	-10.414768713029
RDH16	-2.00084834494289	0.002549428478522	-5.18931456548871
REN	-2.39186818096491	8.49911137315736E-06	-12.1282701343209
RHBG	-2.35992531726796	0.003377177641252	-5.83242820903799
RIPPLY1	-2.30356279932851	1.39090606536068E-05	-11.187718513108
RTP3	-2.96616435330158	3.23659970864098E-05	-13.3178139852893
SAA4	-2.07176514949556	0.011288030435774	-4.03451780456949
SERPINA11	-2.19458527102837	0.003878781091301	-5.29181384486273
SERPINA12	-2.49915589974062	5.64799243254547E-08	-18.1141466065467
SERPIND1	-2.36501104906259	1.31622707320159E-05	-11.5428365387752
SHD	-2.72011485239996	5.22003087641502E-07	-17.0886507848765
SLC10A1	-2.24263785516244	0.0060462232727	-4.97532755885389
SLC1A2	-2.51852380286329	2.89406541837789E-06	-13.9488230680365
SLC22A3	-2.14057235078902	4.90647465419318E-06	-11.3647918844451
SLC38A3	-2.05058641254689	1.95344290821324E-06	-11.7072064640361
SLC39A5	-2.72785187432342	8.26059585222793E-08	-19.3213437967265
SLC47A1	-2.04927563116906	3.37257252689318E-09	-17.3615424585116
SLC7A9	-2.10248605096007	2.79329887459355E-07	-13.7794467326889
SOAT2	-2.3959265208109	0.000114908000195	-9.43911127929808
SPDYC	-2.73422574818638	5.03090843901537E-08	-19.9553462959272
SPP2	-2.53788741724411	0.006426529828461	-5.56310878880323
SULT1E1	-2.80417253992151	3.23673872847127E-07	-18.1987779308967
tAKR	-2.33309742525276	0.001954316535389	-6.32037280843554
TBX10	-2.63253257847404	8.35928940854999E-09	-21.2651523198176
TERT	-2.36062129684022	5.58857628026592E-06	-12.3996326929859
TF	-2.93706955520339	2.66117395416666E-11	-31.0592953642129
THBS4	-2.2248083685455	2.03174155484961E-06	-12.6639018778514
TLX1	-2.96987794117939	7.1615719814131E-10	-27.1595089397395
TMEM82	-2.04535129167855	0.000594607207608	-6.59783248996661
TRIM55	-2.19278888479002	0.009599843317893	-4.42446875564035
TTR	-2.12932532418888	0.000678914501779	-6.74609637035047
TUBA3C	-2.44478925432066	0.000204068568864	-9.02181969084901
UGT1A3	-2.171579967921	0.0005689276943	-7.0466530531981
UGT2B10	-2.02046674527199	0.004797017103505	-4.68552043651403
UPB1	-2.54270034020673	0.000132896011833	-9.85674748837905
VCX3A	-2.28624770535688	0.000355189872782	-7.88650159580371
ZG16	-2.13120884179281	0.004346436579787	-5.03363109383647
A1CF	-1.56216956122566	2.56867898622539E-06	-8.73298113751251
AADAC	-1.72654108286127	0.016454992711299	-3.07963531045326
AADAT	-1.08393120735716	0.000200990763107	-4.00710279429599
AASS	-1.50963096363623	1.01845827338394E-05	-7.53616345638061
ABAT	-1.32665730222774	0.002647765350093	-3.41895573736177
ABCA6	-1.57460556296951	8.9019742732184E-05	-6.37796135005508
ABCB4	-1.79450974333142	0.001027262839696	-5.36256652411779
ABCC11	-1.82314477200955	3.88165583177215E-07	-11.6881500926665
ABCC2	-1.762345397568	3.02305771982192E-05	-7.96501441671772
ABCC6	-1.31350506560323	8.62139652383752E-08	-9.27915458161752
ABCC6P1	-1.46025959165447	4.59602699902335E-08	-10.7148262302162
ABCC6P2	-1.33530055099375	1.48936747568453E-10	-13.1219960234371
ABHD12B	-1.18943015372965	0.00126665298724	-3.44618635476028
ABHD6	-1.00591089190515	7.79199677107711E-05	-4.13263525616149
ACADL	-1.03587057966278	0.02615285556228	-1.63924539136304
ACADSB	-1.04913576143108	0.001617940820187	-2.92817711397358
ACAT2	-1.20423641210638	3.50500775534187E-07	-7.77372057784933
ACMSD	-1.35730595929258	0.005830398082445	-3.03263113697386
ACOT12	-1.88730609285603	0.016813240979349	-3.34873885259614
ACOT4	-1.20472374981669	2.73302220133385E-07	-7.90703186410462
ACOT6	-1.5668085016569	1.21197698815105E-06	-9.27003131500509
ACOX2	-1.92851666699238	1.05287974169227E-06	-11.5279421718534
ACR	-1.19120009077582	0.000296476110465	-4.2025661843678
ACSF2	-1.22938195075487	1.60516894322241E-07	-8.3530101566686
ACSL1	-1.1788992704776	0.000771528796237	-3.66949829124477
ACSL5	-1.5351647058796	2.8509377000072E-07	-10.0476718410403
ACSL6	-1.11774227595728	0.016454992711299	-1.99371947484729
ACSM1	-1.61120706299206	0.007609498406381	-3.41357412775124
ACSM3	-1.33915688908162	0.000166437261	-5.0603383444939
ACSM5	-1.68054890848405	0.002749601690829	-4.30343236573612
ACSS2	-1.11212885077386	6.69155511297393E-07	-6.86680949573341
ACSS3	-1.50294541625008	0.000749776528893	-4.69680686491103
ACVR1C	-1.08515427015172	3.64712623333643E-05	-4.81596804567157
ACY1	-1.07597438364706	1.36530788041161E-05	-5.2343672600482
ACY3	-1.37956236321757	1.79028648690742E-05	-6.54888940789474
ADCY10	-1.12025181292677	0.010058549068584	-2.23766340788172
ADH1A	-1.83710743387536	0.006195182402193	-4.0562338307961
ADH1B	-1.84387693925381	0.002613323745572	-4.76237787009527
ADH7	-1.27312945571716	0.0001802045932	-4.76689477727756
ADHFE1	-1.51244388380189	2.97534078128391E-05	-6.8460217107678
ADI1	-1.06460680240493	3.05959754212297E-06	-5.87059929337971
ADIG	-1.29777582863739	0.000612434898812	-4.16967596113339
ADPRHL1	-1.05421194926233	0.000527765299036	-3.45524203970509
ADRB2	-1.68356500206532	1.31191460675197E-06	-9.90288832541485
ADSSL1	-1.10280241483733	6.8147994497785E-05	-4.59487800527681
AFM	-1.39752234473167	0.186066913179484	-1.02065367799036
AFMID	-1.04486622744173	6.27355593045689E-10	-9.61536706583661
AFP	-1.13263163533298	0.212010975960174	-0.762987849050895
AGBL2	-1.17123789467886	0.004346436579787	-2.76630772607701
AGMAT	-1.28095438694106	0.000491451845707	-4.23806196517668
AGRP	-1.12807283245949	0.00190317612832	-3.0689458509071
AGXT2	-1.94154396572086	0.023842805581587	-3.15043203110164
AK3L1	-1.12950887137877	4.03614673287448E-05	-4.96309931506621
AKR1C2	-1.25489903042838	0.001663237122057	-3.48742191818544
AKR1CL1	-1.98534233497537	6.37045580048551E-05	-8.33015792312149
AKR1D1	-1.5229610769502	0.084838601285397	-1.63171039741154
ALB	-1.26830506527981	0.125491405023326	-1.14323245270222
ALDH1A1	-1.44634797273419	2.54286927222861E-05	-6.64550026899043
ALDH5A1	-1.06035478543101	1.91645875480777E-06	-6.06257904027383
ALDH6A1	-1.04433346268719	0.001981867902593	-2.82275533366099
ALDOB	-1.53450309815465	0.027498818268362	-2.39487745482902
ALDOC	-1.47359873291518	1.16379107037319E-07	-10.2181177835464
ALKBH2	-1.08364029591711	7.77738120995673E-09	-8.7874197086822
AMACR	-1.10053725598049	0.000189234101416	-4.09730086184113
AMBP	-1.75819984757816	4.90647465419318E-06	-9.33468815086933
AMDHD1	-1.58201666601505	0.001954316535389	-4.28569120609702
AMN	-1.66175736636346	0.002230645678631	-4.40626499727405
AMT	-1.45110984213965	2.72942867374105E-12	-16.7805300978434
AMY1A	-1.35115786234745	3.12807321517933E-05	-6.08659202138168
AMY2A	-1.17929798552428	0.000527765299036	-3.86521892468991
ANG	-1.48958251434076	0.000760710324881	-4.64568118064064
ANGPTL3	-1.83967806495532	0.003208797544039	-4.58752734170996
ANKRD20B	-1.17836493329996	2.8509377000072E-07	-7.7124129505072
ANKRD43	-1.51894539229089	2.17178776381292E-05	-7.08311975114881
ANKS4B	-1.53707526972873	3.43656113282274E-06	-8.39838856278579
ANXA10	-1.16474043446374	0.030148906816494	-1.77125389287438
APLN	-1.08913630931895	0.000234662563298	-3.95308143290853
APOB	-1.55078123589889	0.000576857076227	-5.02287462191053
APOC1	-1.67750188506187	7.79199677107711E-05	-6.89176694304822
APOC1P1	-1.79048515720773	0.035235043608498	-2.60162002977036
APOE	-1.33453002873953	2.54286927222861E-05	-6.13173304913548
AQP11	-1.39547513348435	1.78545049037155E-08	-10.8124932564146
AQP6	-1.88697565193578	0.000344848661432	-6.53341063436081
AQP7	-1.26784068241113	0.000729481225238	-3.97719832024033
AQP8	-1.37729684517852	0.03423318285525	-2.01850113788794
ARID3C	-1.43008288285189	0.004293359401745	-3.38529613979274
ARL4D	-1.71144845167505	6.26361149088751E-11	-17.4622083773757
AS3MT	-1.35236501306491	1.7034044626903E-06	-7.8013640048655
ASB4	-1.91140891331867	1.469649911733E-05	-9.23743044126491
ASCL1	-1.58275160599371	0.002932339233182	-4.00877077509878
ASGR1	-1.88791919764157	1.27033032528012E-05	-9.24340972012547
ASGR2	-1.26156591551567	0.022628732049488	-2.07570458599835
ASPSCR1	-1.30935912068584	8.68558618086534E-11	-13.1737251191596
BAAT	-1.49055764168162	8.79951372506528E-06	-7.53557575776904
BANF2	-1.57633925008444	0.002516912445065	-4.09711361724734
BCHE	-1.16653111497165	0.003599284893411	-2.85074981339883
BDH1	-1.74367186164086	0.000366171137301	-5.99180732696711
BGLAP	-1.20125797454375	3.95780484303891E-07	-7.69110898869031
BNIP3	-1.0906506613879	2.06610028643172E-09	-9.47213587192003
BNIPL	-1.02731168531029	1.99112448296204E-06	-5.85660281764244
BSN	-1.16874271164967	1.39090606536068E-05	-5.67623529777206
C10orf114	-1.44504879738749	1.70520000798316E-07	-9.78041492560001
C10orf125	-1.21941190448745	8.05966310765391E-05	-4.99188591904547
C10orf140	-1.70586211477142	3.71205595509016E-09	-14.3810752133164
C10orf58	-1.03038876571028	5.55465447371007E-07	-6.44543510247186
C10orf62	-1.33424268784634	2.06163171624986E-05	-6.25197959422429
C10orf75	-1.50291846127437	3.07038930966682E-10	-14.2969725896078
C12orf27	-1.10787501015315	0.000234662563298	-4.0210946005081
C14orf53	-1.25317353350724	0.000958197577801	-3.78276061762841
C14orf73	-1.20584161870504	0.002262104127126	-3.19003881820664
C17orf58	-1.02653782685602	3.60177391990708E-11	-10.7206309091813
C18orf18	-1.28736336911499	8.56121626728334E-10	-11.6731216892157
C18orf56	-1.11553723151533	2.67457797659098E-06	-6.21660423456869
C19orf36	-1.109168597336	0.000192020949689	-4.12239300539978
C19orf45	-1.01259206858045	0.006274184008475	-2.23017605865169
C19orf73	-1.05677146544453	5.09595303467908E-06	-5.59325315255471
C1orf105	-1.16031335132085	0.002580432981782	-3.00324765188857
C1orf115	-1.11991911683484	1.30696804914331E-08	-8.82914557136284
C1orf130	-1.33989522265942	0.000320230762146	-4.68231336608923
C1orf168	-1.35529132087917	0.001071860169594	-4.02502801281852
C1orf182	-1.54139078344169	8.76765842126342E-07	-9.33638335956909
C1orf223	-1.34404774153116	3.52086727387622E-05	-5.98551547508282
C1orf226	-1.10125376672794	2.83786389120625E-06	-6.10866393629069
C1orf51	-1.08884256998887	6.69275246384923E-05	-4.54525923842457
C1QTNF3	-1.53687976200398	1.63832256117956E-05	-7.35489269284961
C20orf152	-1.15670609243884	2.54286927222861E-05	-5.31468968281111
C20orf56	-1.18035063995522	8.32842139345979E-05	-4.81516643824905
C2	-1.50624290784004	4.40298911134892E-07	-9.57406008070261
C21orf29	-1.24593969047397	0.000238038408648	-4.51447926767246
C2orf52	-1.01307264784669	0.000241701688493	-3.66400042671073
C2orf54	-1.10687448276797	0.020584207248476	-1.86670602002694
C2orf82	-1.36987477097376	0.009169107007793	-2.79135677778286
C3orf65	-1.21292344524457	0.002419491317104	-3.17334241729415
C3P1	-1.58417517111481	0.046313225276491	-2.11375696790655
C4BPA	-1.04083133291669	0.195209006801104	-0.738469984931252
C4BPB	-1.67539249320857	0.000171977802268	-6.30706129034524
C5orf27	-1.05151983994345	0.137679052433217	-0.905497521266601
C5orf33	-1.01890056711792	4.8569598042776E-05	-4.3951656478046
C5orf45	-1.09839956312067	4.38630518092168E-08	-8.08191541435514
C5orf58	-1.30456155044493	0.074032549415808	-1.47490766862042
C6orf142	-1.97806083583861	0.00011147252914	-7.81894245723759
C6orf201	-1.13450221689398	1.90222038409628E-07	-7.62469348612343
C6orf208	-1.04520000173496	0.00151119368855	-2.94817460386694
C6orf97	-1.33558581830694	0.000146696639019	-5.12007486258368
C7orf10	-1.15955232948439	3.70237869708374E-06	-6.29813069645458
C7orf11	-1.07071464777047	9.06498120530805E-12	-11.8235090015626
C7orf55	-1.17054907740712	4.09978970712022E-09	-9.81767419361914
C8A	-1.64341304571487	0.007518358642688	-3.49040710569435
C8B	-1.29851222723405	0.191282496377149	-0.93275349566268
C8G	-1.10817649145882	0.036311164651944	-1.59572962251129
C8orf46	-1.31436569135949	0.000366171137301	-4.51657571189507
C9orf103	-1.20693958662169	2.84629709525784E-09	-10.3141674870905
C9orf152	-1.02838926205552	0.024074730242515	-1.66438484714545
C9orf169	-1.02162533182749	8.33984500335621E-06	-5.18867366467939
C9orf173	-1.09376992466747	0.002516912445065	-2.8428522935343
C9orf24	-1.09115869313427	0.000470589891904	-3.63067495822379
C9orf43	-1.17695539989959	5.51639187162795E-09	-9.71970361267408
C9orf53	-1.51029510904538	8.32842139345979E-05	-6.1611542153295
C9orf96	-1.07606957733274	9.87039277000164E-09	-8.61465316103127
CA14	-1.56238962298549	0.000278527607135	-5.5545009575162
CABC1	-1.00666362072552	1.6697936136266E-06	-5.81583518823572
CADM1	-1.03711809042617	4.10132861622048E-05	-4.54991529434522
CALML6	-1.6293756232939	3.11572869877032E-06	-8.97205970254851
CALR3	-1.58587197827696	4.22151720971769E-06	-8.5233188005837
CAT	-1.06041731783207	1.07478025381179E-06	-6.32929197715655
CBLN1	-1.28318627868025	0.008362459256548	-2.66603248386645
CBR1	-1.13408981183678	1.63682668949952E-06	-6.56184059165692
CBS	-1.15908499852501	0.000257456100906	-4.16030009037945
CBWD5	-1.15153131940248	0.042473216059409	-1.57976837497465
CCBL1	-1.128440862946	3.91002553627887E-11	-11.7446098405915
CCBP2	-1.81736685171816	7.5824085538449E-07	-11.1226355548459
CCDC13	-1.21565866344517	0.01103380901782	-2.3793777481758
CCDC152	-1.21151702491533	5.92526585734857E-06	-6.33295344455767
CCNB1IP1	-1.03058849608071	1.29553673023163E-07	-7.09823007409256
CD300LG	-1.19830586866307	0.005222775171134	-2.73465222813821
CD36	-1.62185388945829	2.20396835441582E-06	-9.17449439779104
CDC25C	-1.47628694483728	1.13869875801332E-06	-8.7744460246801
CDHR3	-1.21703511559118	2.29960271152771E-08	-9.29613675279607
CDKN2A	-1.15715706959531	0.000527765299036	-3.7926507626909
CDKN3	-1.01365573776822	0.000301277332845	-3.56911585276614
CEACAM20	-1.20762045883137	0.012774894556345	-2.28680163705338
CEACAM22P	-1.74952484188782	4.30364174452545E-09	-14.6368115543437
CEBPA	-1.48627115120626	9.13809401424379E-07	-8.97580606723294
CECR4	-1.60878480863431	2.24632991682109E-06	-9.08726355821398
CELF6	-1.06860003705863	7.04215252900421E-05	-4.43714213415164
CELSR3	-1.40109326414942	5.58857628026592E-06	-7.35952093091933
CENPV	-1.56096124942398	3.15216366713466E-09	-13.2703422935356
CES1	-1.72430701927124	0.002580432981782	-4.46303664511516
CES2	-1.28097288123687	0.000355189872782	-4.41876645666393
CES3	-1.74889753754002	9.12417585738725E-06	-8.81410492012028
CES4	-1.64027128197575	0.003045526502455	-4.12747632871564
CES8	-1.33513293984729	0.00173352048554	-3.6863968704455
CFB	-1.04750270651957	0.004563550148753	-2.45188662349887
CFHR1	-1.717258263586	0.007338079597198	-3.66534623011791
CFHR3	-1.24094478150007	0.083461508107176	-1.33837603722883
CFHR4	-1.17660153955344	0.407947295999866	-0.458163863867521
CGREF1	-1.31437118859852	0.000107778239611	-5.21472683248667
CHGA	-1.2295850820264	0.003248534837384	-3.05959189436034
CHN2	-1.35827681294342	8.99771803518952E-08	-9.5702386161348
CHPT1	-1.04884517896988	1.69696802699608E-09	-9.19871449997159
CHST13	-1.41204798459344	1.95550072809337E-08	-10.8851136302826
CIDEB	-1.35586499032681	1.41655592396827E-05	-6.57427243904846
CLDN14	-1.63806936895525	1.02532071485841E-07	-11.4486965889277
CLDN15	-1.40811507104185	0.00021348766535	-5.16866549752162
CLDN19	-1.99121558620757	1.11593925311254E-05	-9.86121531710044
CLEC2L	-1.0755613451708	0.120651229265837	-0.987868945266877
CMBL	-1.66332987562418	1.88432795055696E-05	-7.85897336760675
CMTM8	-1.2325713188138	1.30972313033801E-11	-13.4138524192658
CNGA1	-1.03026275818333	0.060405130031837	-1.25581424456771
CNKSR2	-1.22818187275313	0.002419491317104	-3.21326267394675
COL2A1	-1.76578417177407	0.016630374801047	-3.14150302295193
COQ10A	-1.30755983987927	2.42172344932153E-10	-12.5733325675882
CORT	-1.01427733593113	0.000535729079688	-3.31775672716068
CP	-1.56436708198554	0.001056623403698	-4.65568123201138
CPB2	-1.64889367100935	1.88432795055696E-05	-7.79076455992529
CPLX2	-1.52352856675885	0.160051388135653	-1.21233346702794
CREB3L3	-1.46480797790172	0.023107232649916	-2.39679507579651
CRIP3	-1.42603652172357	0.008965926452869	-2.91967405941792
CRYAA	-1.31747579589029	0.080715259324758	-1.44005947967534
CRYL1	-1.0656666642841	5.19617800355973E-05	-4.5656527190154
CTH	-1.6259594401148	0.000339850826437	-5.63998448428477
CUX2	-1.23957801319001	0.006345796405433	-2.72398987153357
CXCL17	-1.52054587036287	0.015758623283584	-2.74075614539477
CXorf57	-1.60501146438827	1.54495442546513E-08	-12.5368798945909
CXorf66	-1.04569167447316	0.000739499308129	-3.2741257040666
CYB5A	-1.25564320553682	9.46329567342779E-06	-6.30829821341432
CYP27A1	-1.40877188993259	8.05966310765391E-05	-5.76706569340691
